Step	Training Loss	Validation Loss	Bleu	Ter	Rouge1	Rougel
27250	0.890100	0.848787	8.562850	89.317739	0.340850	0.317320
27500	0.877100	0.848616	8.473004	89.685943	0.340169	0.317295
27750	0.880100	0.848448	8.529262	89.148798	0.343104	0.319841
28000	0.889100	0.848052	8.436810	89.538661	0.341855	0.318681
28250	0.879800	0.847456	8.511029	90.123457	0.342883	0.319200
28500	0.884500	0.846745	8.508162	89.846220	0.341917	0.318477
28750	0.883400	0.846680	8.532116	89.222439	0.342470	0.319258
29000	0.904200	0.846338	8.543308	90.127789	0.342719	0.318851
29250	0.875500	0.846741	8.567820	89.226771	0.342682	0.319640
29500	0.871600	0.846246	8.602180	89.135802	0.344052	0.321016
29750	0.885600	0.845252	8.579718	89.400043	0.344634	0.321395
30000	0.879700	0.844419	8.536548	89.460689	0.344410	0.320758
30250	0.878500	0.845313	8.536589	89.404375	0.345327	0.321948
30500	0.883800	0.844427	8.629667	89.088152	0.347419	0.323359
30750	0.888900	0.843956	8.817481	89.023175	0.346058	0.323177
31000	0.871800	0.843607	8.654749	89.148798	0.345464	0.321918
31250	0.883100	0.843170	8.699456	89.707602	0.346530	0.322785
31500	0.880700	0.842924	8.840148	88.468703	0.347810	0.324866
31750	0.888900	0.843414	8.848738	88.832575	0.347306	0.324164
32000	0.879600	0.842126	8.806663	88.992853	0.347291	0.323649
32250	0.883500	0.842140	8.901572	88.780593	0.348111	0.324213
32500	0.885000	0.841959	8.831040	88.702621	0.347905	0.324150
32750	0.885200	0.842284	8.792857	88.780593	0.348569	0.324910
33000	0.889000	0.841729	8.736697	89.261425	0.346355	0.323071
33250	0.873100	0.841311	8.883506	89.421702	0.346563	0.323725
33500	0.877700	0.841128	8.997192	89.443361	0.348613	0.324841
33750	0.879900	0.840942	8.886926	89.001516	0.349764	0.326112
34000	0.873400	0.840681	8.918032	88.771930	0.349972	0.325095
34250	0.879600	0.840439	8.922654	88.940871	0.348729	0.324922
34500	0.884800	0.839981	8.899336	89.326402	0.348315	0.324284
34750	0.877100	0.840125	8.932014	88.828243	0.348965	0.325449
35000	0.889600	0.839630	8.946335	88.512021	0.348552	0.325704
35250	0.884700	0.839929	8.928207	89.135802	0.346932	0.323808
35500	0.873300	0.839313	8.966172	89.031839	0.348139	0.324217
35750	0.883800	0.839204	8.939611	89.174789	0.347672	0.324484
36000	0.873700	0.839596	9.028072	88.434048	0.350062	0.326299
36250	0.869000	0.838991	9.046147	88.641975	0.350363	0.327078
36500	0.879600	0.838835	9.083944	88.317089	0.351520	0.328380
36750	0.877400	0.838707	9.066646	88.421053	0.350998	0.327455
37000	0.867300	0.838474	9.031699	88.351744	0.350943	0.327230
37250	0.868600	0.838576	9.017844	88.481698	0.350245	0.327009
37500	0.880400	0.838647	9.023358	88.109162	0.351545	0.327698
37750	0.867200	0.838255	8.994065	88.247780	0.350714	0.326740
38000	0.871700	0.838353	8.969140	88.546675	0.349989	0.325947
38250	0.887300	0.838197	9.043189	88.447044	0.350476	0.326348
38500	0.866900	0.838110	8.966639	88.468703	0.350294	0.325674
38750	0.881300	0.838204	9.025368	88.295430	0.350948	0.326794
39000	0.871200	0.837942	9.031211	88.438380	0.350358	0.326644
39250	0.877800	0.838027	9.041395	88.356075	0.350875	0.327120
39500	0.858500	0.837755	9.093698	88.139485	0.351147	0.327372
39750	0.865600	0.837578	9.098669	88.299762	0.351330	0.327553
40000	0.871600	0.837668	9.093030	88.317089	0.351311	0.327984
40250	0.879700	0.837648	9.075355	88.334416	0.350948	0.327337
40500	0.875000	0.837609	9.078352	88.057180	0.351333	0.327603
40750	0.865000	0.837585	9.083667	87.983539	0.351971	0.328305
41000	0.883100	0.837574	9.097668	88.009530	0.351911	0.328246
41250	0.885300	0.837613	9.095008	87.862248	0.352106	0.328451
41500	0.878700	0.837610	9.096285	87.801603	0.352499	0.328780
