inputs,preds,labels
This was the first time I heard that people in my country were suffering .,Đây là lần đầu tiên tôi nghe người ta đang khóc .,Vì đó là lần đầu tiên tôi biết rằng đồng bào của tôi đang phải chịu đựng như vậy .
"Soon after , when I was walking past a train station , I saw something terrible that I can 't erase from my memory .","Ngay sau khi đi học , khi tôi thấy một cái gì đó khủng khiếp mà tôi không thể tránh được từ chân mình .","Không lâu sau đó , khi tôi đi qua một nhà ga , tôi nhìn thấy một cảnh tượng kinh hoàng mà tôi không bao giờ có thể quên"
"A lifeless woman was lying on the ground , while an emaciated child in her arms just stared helplessly at his mother 's face .","Một người phụ nữ sống dưới mặt đất , khi một đứa trẻ bị dìm xuống biển xuống biển dưới biển 404 nát phân .",Trên nền nhà ga là xác chết của một người đàn bà hai tay vẫn đang ôm một đứa bé hốc hác và đứa bé chỉ biết nhìn chằm chằm vào khuôn mặt của mẹ nó .
"But nobody helped them , because they were so focused on taking care of themselves and their families .","Nhưng không ai giúp họ , bởi vì họ phải tập trung vào bản thân và gia đình họ .","Nhưng không có ai giúp họ , bởi vì tất cả đều đang phải lo cho chính mình và cả gia đình ."
A huge famine hit North Korea in the mid-1990s .,Một con sứa lớn của Nhật được điều chỉnh bởi những con sứa .,"Vào giữa những năm 90 , Bắc Triều Tiên trải qua một nạn đói trầm trọng ."
"Ultimately , more than a million North Koreans died during the famine , and many only survived by eating grass , bugs and tree bark .","Cuối cùng , hơn 1 triệu người Israel chết trong suốt suốt suốt suốt suốt suốt suốt sự hỗ trợ của chim , và những chiếc xe viễn khách .","Nó khiến hơn một triệu người Triều Tiên chết trong nạn đói , và nhiều người chỉ sống sót phải ăn cỏ , sâu bọ và vỏ cây ."
"Power outages also became more and more frequent , so everything around me was completely dark at night except for the sea of lights in China , just across the river from my home .","Nhà Cơ đốc giáo biếm họa và càng ngày càng tự tin tất cả những thứ tôi hoàn toàn sống ở nhiệt độ trong một đêm dài 10 mét ở Trung Quốc , chỉ chỉ qua một tầng khí quyển .","Việc cúp điện ngày càng xảy ra thường xuyên , vì thế mọi thứ xung quanh tôi đều chìm vào bóng tối khi đêm đến ngoại trừ ánh sáng đèn từ phía Trung Quốc chỉ cách nhà tôi một con sông ."
I always wondered why they had lights but we didn 't .,Tôi luôn tự hỏi tại sao chúng lại ổn nhưng chúng ta không .,Tôi lúc nào cũng tự hỏi là tại sao họ lại có điện còn chúng tôi thì không .
This is a satellite picture showing North Korea at night compared to neighbors .,Đây là tấm ảnh chụp ở Galapagos để thu thập các hàng xóm .,Đây là một bức ảnh từ vệ tinh chụp Bắc Triều Tiên vào ban đêm trong tương quan với các nước xung quanh .
"This is the Amrok River , which serves as a part of the border between North Korea and China .","Đây là con voi tổng hơp , nơi mà là phần của vùng băng của vùng băng bắc và Trung Quốc .",Đây là sông Áp Lục nó là biên giới tự nhiên giữa Bắc Triều Tiên và Trung Quốc .
"As you can see , the river can be very narrow at certain points , allowing North Koreans to secretly cross .","Khi bạn thấy bờ biển , nhiệt độ lại có thể là những nơi rất đông , cho phép người Cơ đốc giáo .",Có thể thấy là lòng sông có đoạn rất hẹp vì thế một số người Bắc Triều Tiên bí mật vượt sang Trung Quốc .
But many die .,Nhưng rất nhiều người chết .,Nhưng rất nhiều người đã chết .
"Sometimes , I saw dead bodies floating down the river .",Thỉnh thoảng tôi thấy cơ thể chết dưới biển nước biển,Và tôi đã nhìn thấy xác họ nổi trên sông .
"I can 't reveal many details [ about ] how I left North Korea , but I only can say that during the ugly years of the famine I was sent to China to live with distant relatives .","Tôi không thể đưa các chi tiết về cách tôi đứng bắc Washington , nhưng chỉ có thể nói rằng trong những năm 70 tuổi bị đe dọa bởi đại dương tôi bị đe dọa Đại Tây Dương là nơi sống ở Trung Quốc .",Tôi không thể nói cụ thể về việc mình đã trốn khỏi Bắc Triều Tiên như thế nào chỉ có thể nói rằng trong những năm tháng khốn khó vì nạn đói ấy tôi được gửi sang Trung Quốc để sống với một người họ hàng xa .
But I only thought that I would be separated from my family for a short time .,Nhưng tôi chỉ nghĩ rằng tôi sẽ lấy lấy hàng dài cho gia đình mình .,"Lúc đó , tôi chỉ nghĩ rằng mình sẽ phải xa gia đình một thời gian ngắn ."
I could have never imagined that it would take 14 years to live together .,Tôi không thể tưởng tượng rằng nó sẽ được sinh ra để sống cùng nhau .,chứ không bao giờ tôi có thể tưởng tượng rằng tôi sẽ phải xa họ những 14 năm ròng .
"In China , it was hard living as a young girl without my family .","Ở Trung Quốc , rất khó để sống trong gia đình mình không có con gái .","Ở Trung Quốc , cuộc sống của một cô bé bị cách ly khỏi gia đình như tôi rất khó khăn ."
"I had no idea what life was going to be like as a North Korean refugee , but I soon learned it 's not only extremely difficult , it 's also very dangerous , since North Korean refugees are considered in China as illegal migrants .","Tôi không biết sự sống sẽ giống như một con cá bắc viễn khách , nhưng tôi đã học được rằng không chỉ có sự phát triển khó khăn , bởi người Trung Quốc , mà là người Trung Quốc được coi như là chim bồ câu viễn khách ở Trung Quốc .","Tôi đã không tưởng được những gì xảy đến với cuộc sống của một người tị nạn từ Bắc Triều Tiên thì sẽ như thế nào , nhưng tôi sớm nhận ra rằng nó không những rất khó khăn , mà còn vô cùng nguy hiểm , vì những người tị nạn từ Bắc Triều Tiên vào Trung Quốc đều bị coi là dân nhập cư trái phép ."
"So I was living in constant fear that my identity could be revealed , and I would be repatriated to a horrible fate back in North Korea .","Nên tôi đang sống trong lòng sợ hãi mà đang bị buộc , và tôi sẽ bị dìm lửa một cái thuyền tuổi vào Iraq .","Tôi luôn sống trong một nỗi sợ thường trực rằng danh tính của tôi sẽ bị phát hiện , và tôi sẽ bị trả về với cuộc sống cũ ở Bắc Triều Tiên ."
"One day , my worst nightmare came true , when I was caught by the Chinese police and brought to the police station for interrogation .","Một ngày , cái đẹp là cơn đau của tôi , khi tôi bị bắt bởi người cảnh sát Mỹ bắt kịp cuộc thi của mình .","Một ngày , cơn ác mộng đó đã thành sự thật , tôi đã bị cảnh sát Trung Quốc bắt và đưa đến đồn cảnh sát để chất vấn ."
"Someone had accused me of being North Korean , so they tested my Chinese language abilities and asked me tons of questions .","Người ta bị bơi ở bờ biển 404 , nên họ gọi những gì mà tôi đặt ra và hỏi những câu hỏi đó lớn nhất của hàng chục","Có ai đó đã báo với họ rằng tôi là người Bắc Triều Tiên , vì thế họ đã kiểm tra khả năng tiếng Trung của tôi và hỏi tôi rất nhiều câu hỏi ."
"I was so scared , I thought my heart was going to explode .","Tôi rất sợ , tôi nghĩ mình sẽ kết nối và kết nối .","Tôi đã vô cùng sợ hãi , và có cảm giác như tim mình sắp nổ tung ."
"If anything seemed unnatural , I could be imprisoned and repatriated .","Nếu bất cứ thứ gì đang bị đe dọa , tôi có thể bị dìm xuống chân sâu và nhảy múa .","Vì nếu như họ thấy có điều gì không tự nhiên , tôi sẽ bị tống vào tù và rồi bị trả về nước ."
"I thought my life was over , but I managed to control all the emotions inside me and answer the questions .","Tôi nghĩ cuộc sống của mình đã sống , nhưng tôi đã điều khiển sự cảm nhận của cảm xúc và trả lời câu hỏi .","Tôi nghĩ cuộc đời mình đến đây là chấm dứt , nhưng tôi vẫn cố gắng điều khiển những cảm xúc của mình và trả lời những câu hỏi của họ ."
"After they finished questioning me , one official said to another , "" This was a false report .","Sau khi họ trả lời câu hỏi này , "" Đây là câu trả lời cho câu trả lời của câu trả lời .","Sau khi hỏi xong , một trong hai cảnh sát nói với người kia , Đây là một vụ chỉ điểm sai ."
"She 's not North Korean . ""","Cô ấy không phải là ở Galapagos . ""","Nó không phải là người Bắc Triều Tiên . """
And they let me go . It was a miracle .,Và họ sẽ đi . Đó là một cái màu .,Và họ thả tôi ra . Đó quả là một phép màu .
"Some North Koreans in China seek asylum in foreign embassies , but many can be caught by the Chinese police and repatriated .",Một số người trong Trung Quốc tìm kiếm người Cơ đốc giáo .,"Một số người Bắc Triều Tiên ở Trung Quốc đã đến những đại sứ quán của nước ngoài để xin tị nạn , nhưng rất nhiều trong số đó đã bị bắt bởi cảnh sát Trung Quốc và bị trả về nước ."
These girls were so lucky .,Những đứa bé này rất may mắn .,những cô gái này đã rất may mắn .
"Even though they were caught , they were eventually released after heavy international pressure .","Ngay cả khi họ bị bắt , họ được lấy hàng nghìn người Ả Rập .","vì mặc dù đã bị bắt , nhưng cuối cùng học cũng được thả ra nhờ vào sức ép từ cộng đồng quốc tế ."
These North Koreans were not so lucky .,Những con phố này không được may mắn .,Nhưng những người Bắc Triều Tiên này thì không được may mắn như vậy .
"Every year , countless North Koreans are caught in China and repatriated to North Korea , where they can be tortured , imprisoned or publicly executed .","Mỗi năm , một người Cơ đốc giáo ở Trung Quốc và người Trung Quốc có thể bị bắt , nơi họ có thể bị bắt hoặc bị đe dọa bởi những cơn bão khí quyển","Hàng năm , có vô số người Bắc Triều Tiên bị bắt ở Trung Quốc và bị trả về nước , nơi mà họ bị tra tấn , bị giam cầm hoặc bị xử tử công khai ."
"Even though I was really fortunate to get out , many other North Koreans have not been so lucky .","Ngay cả khi tôi rất may mắn khi được bỏ ra , rất nhiều người đứng bắc quốc tế .",Trong khi tôi rất may mắn vì đã được thả ra thì rất nhiều đồng bào của tôi lại không được như vậy .
It 's tragic that North Koreans have to hide their identities and struggle so hard just to survive .,Đó là một con voi 404 phải chịu trách nhiệm và rất khó để tồn tại .,Việc người Bắc Triều Tiên phải che dấu danh tính của mình và đấu tranh để tồn tại quả là một bi kịch .
"Even after learning a new language and getting a job , their whole world can be turned upside down in an instant .","Ngay sau khi học một ngôn ngữ mới và trở thành một công việc mới , tất cả thế giới có thể đến từ một phần biển băng đen .","Kể cả khi đã học tiếng Trung và tìm được một công việc , thì cuộc sống của họ cũng có thể bị đảo lộn hoàn toàn chỉ trong một khoảng khắc ."
"That 's why , after 10 years of hiding my identity , I decided to risk going to South Korea , and I started a new life yet again .","Đó là lý do tại sao sau khi sinh ra con gái tôi quyết định tập trung vào bạo lực của mình , và tôi bắt đầu một cuộc sống mới mới .","Đó là lý do tại sao sau 10 năm che dấu danh tính thật tôi quyết định liều mình đi đến Hàn Quốc , để bắt đầu một cuộc sống mới một lần nữa ."
Settling down in South Korea was a lot more challenging than I had expected .,"Nhà theo con đường bắc Tokyo , rất nhiều thách thức hơn .",Việc ổn định cuộc sống ở đây khó khăn hơn nhiều so với tôi tưởng tượng .
"English was so important in South Korea , so I had to start learning my third language .","Người đàn ông này rất quan trọng ở Israel , tôi phải học cách học thứ hai của mình .","Vì ở Hàn Quốc , tiếng Anh có vị trí vô cùng quan trọng , nên tôi đã bắt đầu học tiếng Anh , ngôn ngữ thứ ba của tôi ."
"Also , I realized there was a wide gap between North and South .",Và tôi nhận ra có một khoảng trống giữa biển và Tây Nam Cực .,Tôi cũng nhận ra một khoảng cách rất lớn giữa người Nam và Bắc Triều Tiên .
"We are all Korean , but inside , we have become very different due to 67 years of division .","Chúng ta đều là người Cơ đốc giáo , nhưng chúng ta đã trở thành một đống vũ khí khác so với khoảng 900 tuổi .","Chúng tôi đều là người Triều Tiên , nhưng đã trở nên rất khác nhau do hậu quả của 67 năm bị chia cắt ."
I even went through an identity crisis .,Tôi thậm chí đi qua một cuộc khủng hoảng của sự thấu cảm .,Tôi đã trải qua một cuộc khủng hoảng về nguồn gốc của mình .
Am I South Korean or North Korean ?,Tôi có phải là chủ tịch 404 hay không ?,Tôi là người Nam Triều Tiên hay Bắc Triều Tiên ?
Where am I from ? Who am I ?,Tôi đang ở đâu ?,Tôi đến từ đâu ? và Tôi là ai ?
"Suddenly , there was no country I could proudly call my own .","Đột nhiên , tôi có thể bơi trong chính chính mình .","Bỗng nhiên , tôi chẳng có một đất nước nào để có thể tự hào gọi là Tổ quốc ."
"Even though adjusting to life in South Korea was not easy , I made a plan .","Ngay cả khi các công cụ của Israel không dễ được thực hiện , tôi đã làm một kế hoạch cho kế hoạch .",Mặc dù để thích ứng với cuộc sống ở Hàn Quốc thì không dễ chút nào Nhưng tôi đã lập một kế hoạch .
I started studying for the university entrance exam .,Tôi bắt đầu học từ trường đại học 97-98,và bắt đầu học để chuẩn bị cho kì thi đại học .
"Just as I was starting to get used to my new life , I received a shocking phone call .","Chỉ khi tôi bắt đầu sử dụng cuộc sống mới , tôi nhận được một bản đua thuốc thôi .","Tuy vậy , ngay khi tôi vừa mới làm quen với cuộc sống ở đây , thì tôi được báo một tin khủng khiếp ."
"The North Korean authorities intercepted some money that I sent to my family , and , as a punishment , my family was going to be forcibly removed to a desolate location in the countryside .","Con gái 404 đã gửi cho tôi vài người về gia đình , và như gia đình tôi sẽ bị bắt , và gia đình cô ấy đang bơi trên vùng quê nhà ở vùng quê nơi đó .","Chính quyền Bắc Triều Tiên đã phát hiện ra số tiền mà tôi gửi về cho gia đình , và , để trừng phạt , họ sẽ bắt gia đình tôi phải chuyển về một vùng bị cách ly ở nông thôn ."
"They had to get out quickly , so I started planning how to help them escape .","Họ phải bỏ ra nhanh , nên tôi bắt đầu giúp đỡ họ .","Để họ có thể nhanh chóng thoát ra khỏi đó , tôi bắt đầu lập kế hoạch giúp gia đình mình trốn thoát ."
North Koreans have to travel incredible distances on the path to freedom .,Nhà Cơ đốc giáo Kinh thánh phải có một sự tự do phi thường .,Người Bắc Triều Tiên đã phải vượt qua những khoảng cách dường như không tưởng để đến với tự do .
"It 's almost impossible to cross the border between North Korea and South Korea , so , ironically , I took a flight back to China and I headed toward the North Korean border .","Ngay cả gần như không thể vượt qua bờ biển bắc phía bắc Washington , vì thế tôi đã lấy một chuyến bay quay trở lại San Francisco để mặc phim viễn khách vào vùng sông .","Bời vì việc vượt biên từ Bắc sang Nam Triều Tiên gần như là không thể , vì thế , tôi phải bay sang Trung Quốc rồi lại đi ngược về phía biên giới Bắc Triều Tiên ."
"Since my family couldn 't speak Chinese , I had to guide them , somehow , through more than 2,000 miles in China and then into Southeast Asia .","Vì gia đình tôi không thể nói , tôi phải đưa chúng vào Florida , qua năm 1584 đó là vào năm 1584 đó là vào Trung Quốc .","Bởi vì gia đình tôi không biết tiếng Trung , nên tôi phải đi cùng mọi người qua 2000 dặm ở Trung Quốc rồi vào đến Đông Nam Á"
"The journey by bus took one week , and we were almost caught several times .","Công việc được lấy từ một tuần , và chúng tôi gần gần vài lần .","Cuộc hành trình bằng xe buýt kéo dài khoảng 1 tuần , và đã vài lần chúng tôi suýt bị bắt ."
"One time , our bus was stopped and boarded by a Chinese police officer .","Một lần nữa , chúng tôi đã dừng được bởi người Trung Quốc .","Một lần , xe của chúng tôi bị chặn lại và bị khám xét bởi một cảnh sát Trung quốc ."
"He took everyone 's I.D. cards , and he started asking them questions .","Ông ấy lấy những chiếc máy kéo ra , và bắt đầu hỏi họ .","Anh ta thu chứng minh thư của tất cả mọi người , và bắt đầu tra hỏi ."
"Since my family couldn 't understand Chinese , I thought my family was going to be arrested .","Vì gia đình tôi không thể hiểu được Trung Quốc , tôi nghĩ mình sẽ bị bắt .","Bởi vì gia đình tôi không hiểu tiếng Trung , nên tôi đã nghĩ rằng họ sẽ bị bắt ."
"As the Chinese officer approached my family , I impulsively stood up , and I told him that these are deaf and dumb people that I was chaperoning .",Khi Trung Quốc mời gia đình tôi đứng dậy và nói rằng con trai tôi bị dìm xuống và bơi trên lòng thuyền . và người ta gọi tôi là một con voi .,"Khi người cảnh sát Trung Quốc đến gần họ , tôi đã ngay lập tức đứng dậy và nói với anh ta rằng đây là những người câm điếc mà tôi đang phải đi cùng ."
"He looked at me suspiciously , but luckily he believed me .","Ông nhìn tôi , nhưng may mắn là tôi tin tôi .","Anh ta nhìn tôi đầy nghi ngờ , nhưng thật may mắn là anh ta tin lời tôi ."
"We made it all the way to the border of Laos , but I had to spend almost all my money to bribe the border guards in Laos .",Chúng tôi làm nó để làm ra những mảnh băng ở phía nam mà còn dành cho tất cả những tiền mà tôi phải trả để làm cho những chiếc 404 nano .,"Và chúng tôi tiếp tục đi cho tới biên giới Lào , nhung tôi đã phải sử dụng gần như toàn bộ số tiền mà mình có để hối lộ cho những người canh gác biên giới Lào ."
"But even after we got past the border , my family was arrested and jailed for illegal border crossing .","Nhưng sau khi chúng ta đi xa nhất , gia đình tôi bị bắt và bơi ở vùng sông khí quyển .","Tuy nhiên , sau khi chúng tôi qua được biên giới , gia đình tôi lại bị bắt vào tù vì tội vượt biên trái phép ."
"After I paid the fine and bribe , my family was released in one month , but soon after , my family was arrested and jailed again in the capital of Laos .","Sau khi tôi trả tiền , người ta bị bắt trong một tháng trời , nhưng sau khi gia đình tôi bị bắt và bị bắt bởi một người Cơ đốc giáo của một người nào đó .","Sau khi tôi nộp tiền phạt và đưa hối lộ , gia đình tôi được thả ra trong một tháng , rồi lại bị bắt lần nữa ở thủ đô của Lào"
This was one of the lowest points in my life .,Đây là một trong những nơi thấp nhất của tôi .,Đó là thời điểm tuyệt vọng nhất trong cuộc đời tôi .
"I did everything to get my family to freedom , and we came so close , but my family was thrown in jail just a short distance from the South Korean embassy .","Tôi làm mọi thứ để sống gia đình mình , và chúng tôi đã đến gần đây trong đêm một giai đoạn ngắn hoàn toàn ngắn từ địa ngục để có một phần biển bắc viễn khách .","Tôi đã làm đủ mọi cách để đưa gia đình mình đến với tự do , và chũng tôi gần như đã thành công nhưng họ lại bị bắt trong khi chúng tôi chỉ còn cách đại sứ quán Hàn Quốc một khoảng cách rất ngắn nữa thôi ."
"I went back and forth between the immigration office and the police station , desperately trying to get my family out , but I didn 't have enough money to pay a bribe or fine anymore .","Tôi quay trở lại giữa các văn phòng và cảnh sát giả cố gắng làm cho gia đình , nhưng tôi không đủ tiền để làm ra tiền hoặc để loại bỏ những kẻ khác nữa .","Tôi đi đi về về giữa phòng xuất nhập cảnh và đồn cảnh sát , tuyệt vọng tìm cách để đưa gia đình mình thoát khỏi đó , nhưng tôi không còn đủ tiền để hối lộ hay trả tiền phạt nữa ."
I lost all hope .,Tôi mất tất cả .,Tôi hoàn toàn tuyệt vọng .
"At that moment , I heard one man 's voice ask me , "" What 's wrong ? ""","Tại thời điểm đó , tôi nghe một người đàn ông nói "" Tại sao không có sai lầm ? ""","Đúng vào lúc đó , có một người đàn ông đã hỏi tôi , "" Có chuyện gì vậy ? """
I was so surprised that a total stranger cared enough to ask .,Tôi rất ngạc nhiên khi có đủ người để hỏi ai đó .,Tôi vô cùng ngạc nhiên khi một người hoàn toàn xa lạ lại quan tâm tới mức hỏi tôi như vậy .
"In my broken English , and with a dictionary , I explained the situation , and without hesitating , the man went to the ATM and he paid the rest of the money for my family and two other North Koreans to get out of jail .","Trong một trang 404 , với tư cách là một trang 404 , tôi chọn rằng không có gì để đến việc giết người và giết chết họ vì họ phải trả tiền cho gia đình và có 2 con thuyền trong gia đình và bên dưới .","Bằng vốn tiếng Anh ít ỏi của mình và một quyển từ điển , tôi đã kể cho cho ông ta nghe hoàn cảnh của gia đình tôi . Không một chút do dự , người đàn ông đó đã đi tới máy ATM. trả tất cả số tiền còn thiếu cho cả gia đình tôi và hai người Bắc Triều Tiên khác để họ được ra tù"
"I thanked him with all my heart , and I asked him , "" Why are you helping me ? ""","Tôi đã bắt đầu với ông mình , và tôi hỏi ông : "" Tại sao anh đang giúp tôi sống ? ""","Tôi đã cám ơn ông ta bằng cả trái tim mình , và tôi cũng hỏi , "" Tại sao ông lại giúp đỡ tôi ? """
""" I 'm not helping you , "" he said .",""" Tôi không giúp bạn . """,""" Tôi không giúp đỡ cô , "" Ông ta trả lời ."
""" I 'm helping the North Korean people . """,""" Tôi đang giúp người Cơ đốc giáo . """,""" ' Tôi đang giúp người Bắc Triều Tiên . """
I realized that this was a symbolic moment in my life .,Tôi nhận ra đó là một khoảnh khắc rất ngắn cuộc đời của mình .,Tôi nhận ra rằng đó là một khoảng khắc có ý nghĩa vô cùng to lớn trong cuộc đời tôi .
"The kind stranger symbolized new hope for me and the North Korean people when we needed it most , and he showed me the kindness of strangers and the support of the international community are truly the rays of hope we North Korean people need .",Những người Cơ đốc giáo mới cho tôi và chính là người mà chúng ta cần nhất là chúng ta phải đứng lên với người đàn ông và ủng hộ người đàn ông . Và người đàn ông duy nhất của cộng đồng của chúng tôi là hi vọng những người duy nhất đang bị đe dọa bởi những người mà chúng ta cần để mở rộng .,"Lòng tốt từ người đàn ông xa lạ trở thành biểu tượng hy vọng mới cho tôi và cả những người dân Bắc Triều Tiên khi mà chúng tôi đang rất cần nó , và ông ta đã cho tôi thấy lòng tốt từ những người xa lạ và sự hỗ trợ của cộng đồng quốc tế chính là những tia hy vọng mà người Bắc Triều Tiên chúng tôi đang tìm kiếm ."
"Eventually , after our long journey , my family and I were reunited in South Korea , but getting to freedom is only half the battle .","Cuối cùng , sau cuộc hành trình dài của tôi , gia đình tôi và đang khóc cả một nửa chỉ cần phải tự do ;","Cuối cùng , sau một cuộc hành trình dài tôi và gia đình đã được đoàn tụ ở Hàn Quốc , nhưng đến được với tự do mới chỉ là một nửa của cuộc đấu tranh ."
"Many North Koreans are separated from their families , and when they arrive in a new country , they start with little or no money .","Rất nhiều người đang bơi từ gia đình họ , và khi họ bước ra khỏi đất nước , họ bắt đầu với những tiền không hay tiền .","Rất nhiều người Bắc Triều Tiên đang bị chia cắt với gia đình của họ , và khi họ đến được một đất nước khác , họ phải bắt đầu từ đầu với rất ít hoặc gần như không có tiền bạc ."
"So we can benefit from the international community for education , English language training , job training , and more .","Vậy chúng ta có thể chịu được sự mạo hiểm của cộng đồng người phụ nữ , người đọc được sự giáo dục , giáo dục , vũ khí và nhiều hơn .","Vì thế chúng tôi có thể nhận sự trợ giúp từ cộng đồng quốc tế cho giáo dục , đào tạo tiếng Anh , dạy nghề , và nhiều lĩnh vực khác ."
"We can also act as a bridge between the people inside North Korea and the outside world , because many of us stay in contact with family members still inside , and we send information and money that is helping to change North Korea from inside .","Chúng ta cũng có thể hành động như một cái cây màu dưới bờ biển bên ngoài và bên ngoài người trong gia đình mình , và chúng tôi gửi thông tin và gửi thông tin đó đến các thông tin được xây dựng từ bờ biển bắc Washington","Chúng tôi cũng có thể đóng vai trò như cầu nối giữa những người đang ở trong Bắc Triều Tiên với thế giới bên ngoài , bởi vì có rất nhiều người trong chúng tôi đang giữ liên lạc với những thành viên gia đình khác ở trong nước , và chúng tôi chia sẻ với họ thông tin và tiền bạc để có thể thay đổi Bắc Triều Tiên từ phía trong ."
"I 've been so lucky , received so much help and inspiration in my life , so I want to help give aspiring North Koreans a chance to prosper with international support .","Tôi đã rất may mắn , được kết nối nhiều và cảm hứng trong cuộc sống của mình , nên tôi muốn giúp cho người Cơ đốc giáo hóa một cơ hội để trở thành người Cơ đốc giáo .","Tôi đã vô cùng may mắn khi nhận được rất nhiều sự giúp đỡ và được truyền cảm hứng trong suốt cuộc đời mình , vì vậy tôi muốn mình cũng có thể chung sức để mang đến cho đất nước tôi một cơ hội để phát triển cùng với sự hỗ trợ của quốc tế ."
"I 'm confident that you will see more and more North Koreans succeeding all over the world , including the TED stage .",Tôi tự tin rằng bạn sẽ thấy nhiều người đứng dậy và nhiều hơn cả sân khấu của TED .,"Tôi tin tưởng rằng các bạn sẽ nhìn thấy ngày càng nhiều người Bắc Triều Tiên thành công ở mọi nơi trên thế giới , kể cả trên sân khấu của TED"
Thank you .,Cảm ơn .,Cám ơn các bạn .
Today I have just one request .,Hôm nay tôi chỉ có một lời yêu cầu .,Hôm nay tôi chỉ có một yêu cầu mà thôi .
Please don 't tell me I 'm normal .,Đừng nói tôi là bình thường .,Xin đừng nói với tôi rằng tôi bình thường .
Now I 'd like to introduce you to my brothers .,Giờ tôi muốn giới thiệu với bạn về đứa con gái .,Bây giờ tôi muốn giới thiệu các bạn với những người em trai của tôi
"Remi is 22 , tall and very handsome .",Cơn bão của chỉ là 22 người Cơ đốc giáo .,"Remi 22 tuổi , cao ráo và rất đẹp trai ,"
"He 's speechless , but he communicates joy in a way that some of the best orators cannot .","Ông ấy đang bơi , nhưng ông ấy cảm thấy rất vui khi có một dạng 404 không .","Em không nói được , nhưng em truyền đạt niềm vui theo cách mà ngay cả một số nhà hùng biện giỏi nhất cũng không thể làm được ."
Remi knows what love is .,Những người Cơ đốc giáo thích cái gì .,Remi biết tình yêu là gì .
He shares it unconditionally and he shares it regardless .,Ông chia sẻ sự khác biệt và chia sẻ nó một cách không cần thiết .,Em chia sẻ nó một cách vô điều kiện dù bất kể ra sao chăng nữa .
He 's not greedy . He doesn 't see skin color .,Ông không phải là dầu . Nó không thấy màu xanh .,Em ấy không tham lam . Em không phân biệt màu da .
